video_id	video_title	date	segment_number	segment_timestamp	segment_url	segment_topic	reference	article_link	segment_name
Up5LbJa4bWM	Czytamy naturę #61 | Dwutlenek węgla trochę ogłupia - Żelazne deszcze - Nanomaszyna antybiotykiem	2020-05-11T09:17:09Z	2)	12:34	https://www.youtube.com/watch?v=Up5LbJa4bWM&t=754s	o planecie, na której nocą pada żelazny deszcz	Ehrenreich, D., Lovis, C., Allart, R., Osorio, M. R. Z., Pepe, F., Cristiani, S., ... & Dumusque, X. (2020). Nightside condensation of iron in an ultrahot giant exoplanet. Nature, 580, 597–601	https://doi.org/10.1038/s41586-020-2107-1	Żelazne deszcze
Up5LbJa4bWM	Czytamy naturę #61 | Dwutlenek węgla trochę ogłupia - Żelazne deszcze - Nanomaszyna antybiotykiem	2020-05-11T09:17:09Z	3)	17:58	https://www.youtube.com/watch?v=Up5LbJa4bWM&t=1078s	o nanomaszynce, wyizolowanej z bakterii Pseudomonas aeruginosa, która przy odrobinie bioinżynierii może stać się antybiotykiem.	Ge, P., Scholl, D., Prokhorov, N. S., Avaylon, J., Shneider, M. M., Browning, C., ... & Leiman, P. G. (2020). Action of a minimal contractile bactericidal nanomachine. Nature, 580, 658–662	https://doi.org/10.1038/s41586-020-2186-z	Nanomaszyna antybiotykiem
hTUV34sFUvM	Czytamy naturę #60 | Okienko na embrion - Oumuamua - Nieuczciwie o nieuczciwości	2020-05-04T08:35:28Z	1)	00:58	https://www.youtube.com/watch?v=hTUV34sFUvM&t=58s	opowiadam o dość makabrycznym wynalazku, jakim jest wszczepiane ciężarnym myszkom w brzuch okienko, tłumacząc jednak równolegle, dlaczego może to ostatecznie być zbawienne dla laboratoryjnych gryzoni	Huang, Q., Cohen, M. A., Alsina, F. C., Devlin, G., Garrett, A., McKey, J., ... & Mathews, P. (2020). Intravital imaging of mouse embryos. Science, 368(6487), 181-186	https://doi.org/10.1126/science.aba0210	Okienko na embrion
hTUV34sFUvM	Czytamy naturę #60 | Okienko na embrion - Oumuamua - Nieuczciwie o nieuczciwości	2020-05-04T08:35:28Z	2)	08:05	https://www.youtube.com/watch?v=hTUV34sFUvM&t=485s	pokazuję, jak mogła powstać Oumuamua, czyli jeden z najbardziej tajemniczych obiektów astronomicznych ostatnich lat	Zhang, Y., & Lin, D. N. (2020). Tidal fragmentation as the origin of 1I/2017 U1 (‘Oumuamua). Nature Astronomy, 13.04.2020	https://doi.org/10.1038/s41550-020-1065-8	Oumuamua
hTUV34sFUvM	Czytamy naturę #60 | Okienko na embrion - Oumuamua - Nieuczciwie o nieuczciwości	2020-05-04T08:35:28Z	3)	13:28	https://www.youtube.com/watch?v=hTUV34sFUvM&t=808s	pokpiwam sobie z badaczy, którym nie udało się odtworzyć własnego eksperymentu, z czego bardzo dumnie zdają relację, zamiatając jednak pod dywan parę kłopotliwych pytań.	Kristal, A. S., Whillans, A. V., Bazerman, M. H., Gino, F., Shu, L. L., Mazar, N., & Ariely, D. (2020). Signing at the beginning versus at the end does not decrease dishonesty. Proceedings of the National Academy of Sciences, 117(13), 7103-7107	https://doi.org/10.1073/pnas.1911695117	Nieuczciwie o nieuczciwości
vshLxx8kFY8	Czytamy naturę #59 | Materia i antymateria - Wieje na karłach - Twój ślad węglowy: a może weganizm?	2020-04-27T07:42:02Z	1)	01:00	https://www.youtube.com/watch?v=vshLxx8kFY8&t=60s	opowiadam o wielkim odkryciu, ważnym dla podstaw fizyki cząstek i kosmologii: o odkryciu asymetrii pomiędzy neutrinami i antyneutrinami brzmi niewinnie, ale to naprawdę ważne!	Abe, K., Akutsu, R., Ali, A. et al. Constraint on the matter–antimatter symmetry-violating phase in neutrino oscillations. Nature 580, 339–344 (2020).	https://doi.org/10.1038/s41586-020-2177-0	Materia i antymateria
vshLxx8kFY8	Czytamy naturę #59 | Materia i antymateria - Wieje na karłach - Twój ślad węglowy: a może weganizm?	2020-04-27T07:42:02Z	2)	10:27	https://www.youtube.com/watch?v=vshLxx8kFY8&t=627s	wyjaśniam, w jaki sposób wykryć, czy wieje wiatr na obiekcie astronomicznym, który znamy tylko jako jeden piksel na fotografiach	Allers, K. N., Vos, J. M., Biller, B. A., & Williams, P. K. (2020). A measurement of the wind speed on a brown dwarf. Science, 368(6487), 169-172	https://doi.org/10.1126/science.aaz2856	Wieje na karłach
vshLxx8kFY8	Czytamy naturę #59 | Materia i antymateria - Wieje na karłach - Twój ślad węglowy: a może weganizm?	2020-04-27T07:42:02Z	3)	15:51	https://www.youtube.com/watch?v=vshLxx8kFY8&t=951s	pokazuję, jaki wpływ na ilość produkowanego przez Ciebie dwutlenku węgla mają decyzje transportowe, dietetyczne i tym podobne.	Ivanova, D., Barrett, J., Wiedenhofer, D., Macura, B., Callaghan, M. W., & Creutzig, F. (2020). Quantifying the potential for climate change mitigation of consumption options. Environmental Research Letters	https://doi.org/10.1088/1748-9326/ab8589	Twój ślad węglowy: a może weganizm?
Oz-GhHQK02s	Czytamy naturę #58 | Smart drugs i motywacja - Cząstki ciemnej materii - Psia kość!	2020-04-20T13:45:13Z	1)	00:50	https://www.youtube.com/watch?v=Oz-GhHQK02s&t=50s	"o tym, jak działają substancje zwane potocznie ""smart drugs"", stosowane - legalnie i nielegalnie - przy dużym wysiłku umysłowym, problemach z koncentracją itp. na celowniku naukowców znalazł się metylofenidat, sprzedawany w Polsce w preparatach Medikinet i Concerta, a w USA m.in. jako Ritalin"	Westbrook, A., van den Bosch, R., Määttä, J. I., Hofmans, L., Papadopetraki, D., Cools, R., & Frank, M. J. (2020). Dopamine promotes cognitive effort by biasing the benefits versus costs of cognitive work. Science, 367(6484), 1362-1366	https://doi.org/10.1126/science.aaz5891	Smart drugs i motywacja
Oz-GhHQK02s	Czytamy naturę #58 | Smart drugs i motywacja - Cząstki ciemnej materii - Psia kość!	2020-04-20T13:45:13Z	2)	11:09	https://www.youtube.com/watch?v=Oz-GhHQK02s&t=669s	o tym, jak idą poszukiwania cząstek ciemnej materii w dużym skrócie: jedna z możliwości jej wykrycia została właśnie wykluczona...	Dessert, C., Rodd, N. L., & Safdi, B. R. (2020). The dark matter interpretation of the 3.5-keV line is inconsistent with blank-sky observations. Science, 367(6485), 1465-1467	https://doi.org/10.1126/science.aaw3772	Cząstki ciemnej materii
